"individual_id","species_id","genus","observation_date","year","day_of_year","leaves","color","leaf.clean","color.clean","color.full"
132847,1212,"Quercus","2018-03-23",2018,82,"0","0","0","0","0"
132847,1212,"Quercus","2018-03-28",2018,87,"0","0","0","0","0"
132847,1212,"Quercus","2018-04-04",2018,94,"0","0","0","0","0"
132847,1212,"Quercus","2018-04-12",2018,102,"0","0","0","0","0"
132847,1212,"Quercus","2018-04-20",2018,110,"0","0","0","0","0"
132847,1212,"Quercus","2018-04-26",2018,116,"0","0","0","0","0"
132847,1212,"Quercus","2018-05-04",2018,124,"1","0","1","0","0"
132847,1212,"Quercus","2018-05-11",2018,131,"1","0","1","0","0"
132847,1212,"Quercus","2018-05-17",2018,137,"1","0","0","0","0"
132847,1212,"Quercus","2018-05-24",2018,144,"1","0","1","0","0"
132847,1212,"Quercus","2018-05-31",2018,151,"1","0","1","0","0"
132847,1212,"Quercus","2018-06-07",2018,158,"0","0","1","0","0"
132847,1212,"Quercus","2018-06-14",2018,165,"1","0","1","0","0"
132847,1212,"Quercus","2018-06-22",2018,173,"1","0","1","0","0"
132847,1212,"Quercus","2018-06-28",2018,179,"1","0","1","0","0"
132847,1212,"Quercus","2018-07-06",2018,187,"1","0","1","0","0"
132847,1212,"Quercus","2018-07-12",2018,193,"1","0","1","0","0"
132847,1212,"Quercus","2018-07-19",2018,200,"1","0","1","0","0"
132847,1212,"Quercus","2018-07-26",2018,207,"1","0","1","0","0"
132847,1212,"Quercus","2018-08-02",2018,214,"1","0","1","0","0"
132847,1212,"Quercus","2018-08-09",2018,221,"1","0","1","0","0"
132847,1212,"Quercus","2018-08-16",2018,228,"1","0","1","0","0"
132847,1212,"Quercus","2018-08-23",2018,235,"1","0","1","0","0"
132847,1212,"Quercus","2018-08-30",2018,242,"1","0","1","0","0"
132847,1212,"Quercus","2018-09-06",2018,249,"1","0","1","0","0"
132847,1212,"Quercus","2018-09-12",2018,255,"1","0","1","0","0"
132847,1212,"Quercus","2018-09-19",2018,262,"1","0","1","0","0"
132847,1212,"Quercus","2018-09-26",2018,269,"1","1","1","1","1"
132847,1212,"Quercus","2018-10-03",2018,276,"1","1","1","1","1"
132847,1212,"Quercus","2018-10-10",2018,283,"1","1","1","1","1"
132847,1212,"Quercus","2018-10-17",2018,290,"1","1","1","1","1"
132847,1212,"Quercus","2018-10-26",2018,299,"1","1","1","1","1"
132847,1212,"Quercus","2018-11-01",2018,305,"1","1","1","1","1"
132847,1212,"Quercus","2018-11-07",2018,311,"1","1","1","1","1"
132847,1212,"Quercus","2018-11-14",2018,318,"0","0","0","0","1"
132847,1212,"Quercus","2018-11-21",2018,325,"0","0","0","0","1"
132847,1212,"Quercus","2019-03-27",2019,86,"0","0","0","0","0"
132847,1212,"Quercus","2019-04-03",2019,93,"0","0","0","0","0"
132847,1212,"Quercus","2019-04-11",2019,101,"0","0","1","0","0"
132847,1212,"Quercus","2019-04-17",2019,107,"0","0","0","0","0"
132847,1212,"Quercus","2019-04-24",2019,114,"0","0","0","0","0"
132847,1212,"Quercus","2019-04-30",2019,120,"1","0","1","0","0"
132847,1212,"Quercus","2019-05-08",2019,128,"1","0","1","0","0"
132847,1212,"Quercus","2019-05-14",2019,134,"1","0","1","0","0"
132847,1212,"Quercus","2019-05-21",2019,141,"1","0","1","0","0"
132847,1212,"Quercus","2019-05-28",2019,148,"1","0","1","0","0"
132847,1212,"Quercus","2019-06-04",2019,155,"1","0","1","0","0"
132847,1212,"Quercus","2019-06-11",2019,162,"1","0","1","0","0"
132847,1212,"Quercus","2019-06-18",2019,169,"1","0","1","0","0"
132847,1212,"Quercus","2019-06-25",2019,176,"1","0","1","0","0"
132847,1212,"Quercus","2019-07-02",2019,183,"1","0","1","0","0"
132847,1212,"Quercus","2019-07-09",2019,190,"1","0","1","0","0"
132847,1212,"Quercus","2019-07-16",2019,197,"1","0","1","0","0"
132847,1212,"Quercus","2019-07-23",2019,204,"1","0","1","0","0"
132847,1212,"Quercus","2019-07-30",2019,211,"1","0","1","0","0"
132847,1212,"Quercus","2019-08-06",2019,218,"1","1","1","1","1"
132847,1212,"Quercus","2019-08-13",2019,225,"1","1","1","1","1"
132847,1212,"Quercus","2019-08-20",2019,232,"1","1","1","1","1"
132847,1212,"Quercus","2019-08-27",2019,239,"1","1","1","1","1"
132847,1212,"Quercus","2019-09-03",2019,246,"1","1","1","1","1"
132847,1212,"Quercus","2019-09-10",2019,253,"1","1","1","1","1"
132847,1212,"Quercus","2019-09-16",2019,259,"1","1","1","1","1"
132847,1212,"Quercus","2019-09-23",2019,266,"1","1","1","1","1"
132847,1212,"Quercus","2019-10-01",2019,274,"1","1","1","1","1"
132847,1212,"Quercus","2019-10-07",2019,280,"1","1","1","1","1"
132847,1212,"Quercus","2019-10-14",2019,287,"1","1","1","1","1"
132847,1212,"Quercus","2019-10-22",2019,295,"1","1","1","1","1"
132847,1212,"Quercus","2019-10-28",2019,301,"1","1","1","1","1"
132847,1212,"Quercus","2019-11-05",2019,309,"1","1","1","1","1"
132847,1212,"Quercus","2019-11-12",2019,316,"1","1","1","1","1"
132847,1212,"Quercus","2019-11-18",2019,322,"0","0","0","0","1"
132847,1212,"Quercus","2019-11-25",2019,329,"0","0","0","0","1"
132848,102,"Quercus","2018-03-23",2018,82,"0","0","1","0","0"
132848,102,"Quercus","2018-03-28",2018,87,"0","0","1","0","0"
132848,102,"Quercus","2018-04-04",2018,94,"0","0","1","0","0"
132848,102,"Quercus","2018-04-20",2018,110,"-1","0","1","0","0"
132848,102,"Quercus","2018-04-26",2018,116,"0","0","1","0","0"
132848,102,"Quercus","2018-05-04",2018,124,"1","0","1","0","0"
132848,102,"Quercus","2018-05-11",2018,131,"1","0","1","0","0"
132848,102,"Quercus","2018-05-17",2018,137,"1","0","0","0","0"
132848,102,"Quercus","2018-05-24",2018,144,"1","0","1","0","0"
132848,102,"Quercus","2018-05-31",2018,151,"1","0","1","0","0"
132848,102,"Quercus","2018-06-07",2018,158,"0","0","1","0","0"
132848,102,"Quercus","2018-06-14",2018,165,"1","0","1","0","0"
132848,102,"Quercus","2018-06-22",2018,173,"1","0","1","0","0"
132848,102,"Quercus","2018-06-28",2018,179,"1","0","1","0","0"
132848,102,"Quercus","2018-07-06",2018,187,"1","0","1","0","0"
132848,102,"Quercus","2018-07-12",2018,193,"1","0","1","0","0"
132848,102,"Quercus","2018-07-19",2018,200,"1","1","1","0","0"
132848,102,"Quercus","2018-07-26",2018,207,"1","1","1","0","0"
132849,101,"Quercus","2018-03-23",2018,82,"0","0","0","0","0"
132849,101,"Quercus","2018-03-30",2018,89,"0","0","0","0","0"
132849,101,"Quercus","2018-04-05",2018,95,"0","0","0","0","0"
132849,101,"Quercus","2018-04-13",2018,103,"0","0","0","0","0"
132849,101,"Quercus","2018-04-20",2018,110,"0","0","0","0","0"
132849,101,"Quercus","2018-05-02",2018,122,"0","0","0","0","0"
132849,101,"Quercus","2018-05-04",2018,124,"0","0","0","0","0"
132849,101,"Quercus","2018-05-10",2018,130,"1","0","NA","0","0"
132849,101,"Quercus","2018-05-11",2018,131,"1","0","NA","0","0"
132849,101,"Quercus","2018-05-17",2018,137,"NA","0","NA","0","0"
132849,101,"Quercus","2018-05-18",2018,138,"1","0","1","0","0"
132849,101,"Quercus","2018-05-25",2018,145,"1","0","1","0","0"
132849,101,"Quercus","2018-06-08",2018,159,"1","0","1","0","0"
132849,101,"Quercus","2018-06-15",2018,166,"1","0","1","0","0"
132849,101,"Quercus","2018-06-24",2018,175,"1","0","1","0","0"
132849,101,"Quercus","2018-06-29",2018,180,"1","0","1","0","0"
132849,101,"Quercus","2018-08-03",2018,215,"1","0","1","0","0"
132849,101,"Quercus","2018-08-10",2018,222,"1","0","1","0","0"
132849,101,"Quercus","2018-08-17",2018,229,"1","0","1","0","0"
132849,101,"Quercus","2018-08-24",2018,236,"1","0","1","0","0"
132849,101,"Quercus","2018-08-31",2018,243,"1","0","1","0","0"
132849,101,"Quercus","2018-09-07",2018,250,"1","0","1","0","0"
132849,101,"Quercus","2018-09-14",2018,257,"1","0","1","0","0"
132849,101,"Quercus","2018-09-21",2018,264,"1","0","1","0","0"
132849,101,"Quercus","2018-09-28",2018,271,"1","0","1","0","0"
132849,101,"Quercus","2018-10-05",2018,278,"1","1","1","1","1"
132849,101,"Quercus","2018-10-11",2018,284,"1","1","1","0","0"
132849,101,"Quercus","2018-10-18",2018,291,"1","1","1","0","0"
132849,101,"Quercus","2018-10-27",2018,300,"1","1","1","1","1"
132849,101,"Quercus","2018-11-02",2018,306,"0","0","0","0","0"
132849,101,"Quercus","2018-11-09",2018,313,"0","0","0","0","0"
132849,101,"Quercus","2018-11-16",2018,320,"0","0","0","0","0"
132849,101,"Quercus","2018-11-21",2018,325,"0","0","0","0","0"
132849,101,"Quercus","2019-03-25",2019,84,"0","0","0","0","0"
132849,101,"Quercus","2019-04-01",2019,91,"0","0","0","0","0"
132849,101,"Quercus","2019-04-08",2019,98,"0","0","1","0","0"
132849,101,"Quercus","2019-04-15",2019,105,"0","0","0","0","0"
132849,101,"Quercus","2019-04-22",2019,112,"0","0","0","0","0"
132849,101,"Quercus","2019-04-29",2019,119,"1","0","1","0","0"
132849,101,"Quercus","2019-05-06",2019,126,"1","0","1","0","0"
132849,101,"Quercus","2019-05-13",2019,133,"1","0","1","0","0"
132849,101,"Quercus","2019-05-20",2019,140,"1","0","1","0","0"
132849,101,"Quercus","2019-05-29",2019,149,"1","0","1","0","0"
132849,101,"Quercus","2019-06-03",2019,154,"1","0","1","0","0"
132849,101,"Quercus","2019-06-10",2019,161,"1","0","1","0","0"
132849,101,"Quercus","2019-06-17",2019,168,"1","0","1","0","0"
132849,101,"Quercus","2019-06-22",2019,173,"1","0","1","0","0"
132849,101,"Quercus","2019-07-01",2019,182,"1","0","1","0","0"
132849,101,"Quercus","2019-07-08",2019,189,"1","0","1","0","0"
132849,101,"Quercus","2019-07-15",2019,196,"1","0","1","0","0"
132849,101,"Quercus","2019-07-22",2019,203,"1","0","1","0","0"
132849,101,"Quercus","2019-07-29",2019,210,"1","0","1","0","0"
132849,101,"Quercus","2019-08-05",2019,217,"1","0","1","0","0"
132849,101,"Quercus","2019-08-12",2019,224,"1","0","1","0","0"
132849,101,"Quercus","2019-08-19",2019,231,"1","0","1","0","0"
132849,101,"Quercus","2019-08-28",2019,240,"1","0","1","0","0"
132849,101,"Quercus","2019-09-04",2019,247,"1","0","1","0","0"
132849,101,"Quercus","2019-09-09",2019,252,"1","0","1","0","0"
132849,101,"Quercus","2019-09-16",2019,259,"1","0","1","0","0"
132849,101,"Quercus","2019-09-25",2019,268,"1","0","1","0","0"
132849,101,"Quercus","2019-09-30",2019,273,"1","0","1","0","0"
132849,101,"Quercus","2019-10-06",2019,279,"1","0","1","0","0"
132849,101,"Quercus","2019-10-14",2019,287,"1","1","1","0","0"
