"observation_id","update_datetime","site_id","latitude","longitude","elevation_in_meters","state","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","observation_date","day_of_year","phenophase_status","intensity_category_id","intensity_value","abundance_value"
22584825,"2020-05-20 08:50:21",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-05-11",131,1,-9999,"-9999",-9999
22584847,"2020-05-20 08:52:33",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-09-19",262,0,-9999,"-9999",-9999
22584869,"2020-05-20 08:52:20",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-04-04",94,0,-9999,"-9999",-9999
22589166,"2020-05-20 09:10:10",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,371,"Breaking leaf buds","2018-05-10",130,0,-9999,"-9999",-9999
22591540,"2020-05-20 10:18:27",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132860,371,"Breaking leaf buds","2018-04-22",112,0,-9999,"-9999",-9999
22591562,"2020-05-20 10:17:22",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132860,371,"Breaking leaf buds","2018-03-24",83,0,-9999,"-9999",-9999
22591584,"2020-05-20 10:18:18",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132860,371,"Breaking leaf buds","2018-04-14",104,0,-9999,"-9999",-9999
22591613,"2020-05-20 10:17:33",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132860,371,"Breaking leaf buds","2018-03-31",90,0,-9999,"-9999",-9999
22591635,"2020-05-20 10:18:04",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132860,371,"Breaking leaf buds","2018-05-19",139,1,-9999,"-9999",-9999
22591657,"2020-05-20 10:18:43",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132860,371,"Breaking leaf buds","2018-05-12",132,1,-9999,"-9999",-9999
22588983,"2020-05-20 09:09:05",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,371,"Breaking leaf buds","2018-06-12",163,0,-9999,"-9999",-9999
22589005,"2020-05-20 09:11:24",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,371,"Breaking leaf buds","2018-05-02",122,1,39,"1,001 to 10,000",-9999
22588961,"2020-05-20 09:11:34",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,371,"Breaking leaf buds","2018-09-10",253,0,-9999,"-9999",-9999
22585045,"2020-05-20 08:54:05",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-07-19",200,0,-9999,"-9999",-9999
22585067,"2020-05-20 08:51:52",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-06-28",179,0,-9999,"-9999",-9999
